"","disp_key","rpt_date","submit_number","facility_no","field_pool","opno","dis_sold","dis_reinject","flare_gtr","flare_lt","pilot_purge","assist_gas","used","d_other","tr_from","tr_to","ng_leq","purch_gas","amnd_rpt","cmmnt","dt_mod"
"5921",43880,"07/01/16 00:00:00",290000002,3,0,124250,442,7388704,5247,466,15004,18889,878255,0,0,0,21188,0,0,"","08/25/16 13:32:37"
"5922",43881,"07/01/16 00:00:00",1330000007,27,0,124250,0,0,0,968,811,0,11503,0,0,-1236,0,4,0,"","08/24/16 09:04:50"
"5923",43882,"07/01/16 00:00:00",1330000011,11,0,124250,274204,0,20,10,43,0,6370,0,0,0,0,0,0,"","08/24/16 09:04:50"
"5924",43883,"07/01/16 00:00:00",290000024,4,0,124250,0,160195,0,949,1342,0,250538,0,0,0,0,0,0,"","08/24/16 09:04:50"
"5925",43884,"07/01/16 00:00:00",1330000013,14,0,124250,12574,0,0,0,0,0,558,0,0,-18624,0,0,0,"","08/24/16 09:04:50"
"5926",43885,"07/01/16 00:00:00",1330000009,27,0,124250,0,0,11,0,533,0,5344,0,5877,0,0,45,0,"","08/24/16 09:04:50"
"5927",43886,"07/01/16 00:00:00",290000025,5,0,124250,0,10835010,0,3743,5486,0,384536,0,0,0,72640,1879,0,"","08/24/16 09:04:50"
"5928",43887,"07/01/16 00:00:00",1.33e+09,38,0,124250,0,0,0,2550,310,0,23029,0,204924,-179034,0,0,0,"","08/24/16 09:04:50"
"5929",43888,"07/01/16 00:00:00",1330000012,13,0,124250,1681842,0,0,184,0,0,78226,0,18624,0,0,0,0,"","08/24/16 09:04:50"
"5930",43889,"07/01/16 00:00:00",1330000014,32,0,124250,0,0,0,1086,228,0,10050,0,0,0,0,21746,0,"","08/24/16 09:04:50"
"5931",43890,"07/01/16 00:00:00",1330000005,27,0,124250,0,0,0,90,1120,0,22979,0,0,-3563,0,0,0,"","08/24/16 09:04:50"
"5932",43891,"07/01/16 00:00:00",1330000021,38,0,124250,0,0,0,5827,577,0,65094,0,55467,0,0,0,0,"","08/24/16 09:06:04"
"5933",43892,"07/01/16 00:00:00",1330000024,17,0,124250,0,0,0,0,0,0,0,0,0,0,0,292,0,"","08/24/16 09:06:04"
"5934",43893,"07/01/16 00:00:00",1330000015,32,0,124250,0,0,0,0,0,0,0,0,0,0,0,840,0,"","08/24/16 09:06:04"
"5935",43894,"07/01/16 00:00:00",1330000016,32,0,124250,0,0,0,1537,156,0,2336,0,0,0,0,25202,0,"","08/24/16 09:06:04"
"5936",43895,"07/01/16 00:00:00",1330000022,38,0,124250,0,0,0,2704,3600,0,117234,0,73389,0,0,0,0,"","08/24/16 09:06:04"
"5937",43896,"07/01/16 00:00:00",1330000031,44,0,124250,119316,0,0,0,0,0,1585,0,0,0,0,0,0,"","08/24/16 09:06:04"
